ISBN	                  书名	                定价
9787302257646 	程序设计基础	25
9787302164340 	程序设计基础（第2版）	20
9787302219972 	单片机技术及应用	32
9787302203513 	单片机原理与应用技术	26
9787810827430 	工业计算机控制技术——原理与应用	29
9787811234923 	汇编语言程序设计教程	21
9787512100831 	计算机操作系统	17
9787302202844 	计算机操作系统基础与应用（第二版）	30
9787302265436 	计算机导论实验指导	18
9787302131304 	计算机数学	20
9787302162834 	计算机数学	30
9787302221630 	计算机数学（第二版）	25
9787811235388 	计算机网络基础	32
9787302137849 	计算机维护与维修	26
9787302188308 	计算机系统组装与维护	26
9787512101517 	计算机应用基础与信息处理案例教程	25
9787811239447 	计算机英语	29
9787302257448 	计算机硬件与维护	29.8
9787302125679 	计算机专业英语	25
9787302235682 	计算机专业英语	28
9787302149286 	计算机专业英语（第2版）	25
9787302211860 	计算机组成原理（第2版）	29.5
9787302215530 	计算机组装与维护	27
9787302232629 	计算机组装与维护	24
9787302180630 	实用数据结构	29
9787302225065 	数据结构（C/C#语言版）	28
9787302135180 	数据结构          	21
9787302228141 	数据结构  	28
